,polygon,year,lst_day_mean,lst_day_max,lst_day_min,lst_night_mean,lst_night_max,lst_night_min
0,92130,2010,30.493351558228483,33.74000000000001,23.560000000000002,12.746008747949702,14.019999999999982,11.699999999999989
1,92130,2012,31.00865090213233,35.30000000000001,22.939999999999998,13.995664297430324,15.519999999999982,12.579999999999984
2,92130,2014,33.89028430836527,38.400000000000034,27.45999999999998,15.721636139967188,16.920000000000016,14.180000000000007
3,92130,2016,30.80414570803731,34.06,24.480000000000018,13.757657189721101,15.300000000000011,12.45999999999998
4,92130,2018,31.491457080371674,35.660000000000025,24.69999999999999,13.621280754510678,14.819999999999993,12.0
5,92130,2020,31.468713094587315,34.75,25.220000000000027,15.208199835975961,16.44999999999999,14.079999999999984
6,92131,2010,35.51389765193818,38.54000000000002,33.660000000000025,12.619680611345018,14.759999999999991,11.360000000000014
7,92131,2012,37.59639724372158,41.18000000000001,34.160000000000025,13.892497305770576,15.699999999999989,12.660000000000025
8,92131,2014,41.18829757356059,44.400000000000034,37.72000000000003,15.551403285327012,17.30000000000001,14.28000000000003
9,92131,2016,34.60031677606861,37.900000000000034,32.45999999999998,13.417925606609856,15.45999999999998,12.620000000000005
10,92131,2018,37.61022239639453,41.879999999999995,35.139999999999986,13.58009242023428,14.920000000000016,12.340000000000032
11,92131,2020,35.73296659155483,39.94,33.860000000000014,14.608546422389793,15.78000000000003,13.740000000000009
12,92129,2010,33.28930754352018,35.75999999999999,30.24000000000001,12.851644100580188,13.840000000000032,11.560000000000002
13,92129,2012,34.632176015473874,37.28000000000003,31.660000000000025,14.061746615086975,15.139999999999986,12.519999999999982
14,92129,2014,37.62670793036739,39.31999999999999,35.28000000000003,15.925712765957428,16.920000000000016,14.199999999999989
15,92129,2016,33.601235976789155,36.079999999999984,30.079999999999984,13.621135396518355,14.620000000000005,12.45999999999998
16,92129,2018,35.421007736943864,38.19999999999999,32.56,13.462774661508718,14.100000000000023,12.5
17,92129,2020,34.380261121856904,36.879999999999995,30.879999999999995,14.844523210831653,15.900000000000034,14.100000000000023
18,92127,2010,33.12275797988622,36.01999999999998,29.639999999999986,12.867661783996425,15.100000000000023,11.28000000000003
19,92127,2012,34.864385658067306,37.379999999999995,31.180000000000007,13.979540883253037,16.360000000000014,12.519999999999982
20,92127,2014,38.66339746392646,41.45999999999998,34.48000000000002,15.87622321818975,17.720000000000027,14.199999999999989
